Fecha,Dia_Semana,Mes,Anio,Dia_Anio,Es_Feriado,Temperatura_Max_Prevista,Promocion_Croissant,Precio_Nuestro,Precio_Competencia,Cantidad_Vendida
2019-08-07,miércoles,8,2019,219,0,9.7,0,1.41,1.45,46
2019-08-08,jueves,8,2019,220,0,10.9,0,1.39,1.43,59
2019-08-09,viernes,8,2019,221,0,15.4,0,1.42,1.54,73
2019-08-10,sábado,8,2019,222,0,7.1,0,1.38,1.48,113
2019-08-11,domingo,8,2019,223,0,12.3,0,1.43,1.43,98
2019-08-12,lunes,8,2019,224,0,7.8,0,1.37,1.32,49
2019-08-13,martes,8,2019,225,0,10.1,0,1.41,1.47,40
2019-08-14,miércoles,8,2019,226,0,13.3,0,1.41,1.49,46
2019-08-15,jueves,8,2019,227,1,11.4,0,1.38,1.4,126
2019-08-16,viernes,8,2019,228,1,9.2,0,1.41,1.38,130
2019-08-17,sábado,8,2019,229,0,10.0,0,1.43,1.34,93
2019-08-18,domingo,8,2019,230,0,12.9,0,1.36,1.39,87
2019-08-19,lunes,8,2019,231,0,10.1,0,1.41,1.41,44
2019-08-20,martes,8,2019,232,0,12.1,0,1.35,1.34,49
2019-08-21,miércoles,8,2019,233,0,11.9,0,1.38,1.47,38
2019-08-22,jueves,8,2019,234,0,10.6,0,1.43,1.37,48
2019-08-23,viernes,8,2019,235,0,16.3,1,1.39,1.51,132
2019-08-24,sábado,8,2019,236,0,13.4,0,1.38,1.39,109
2019-08-25,domingo,8,2019,237,0,8.2,0,1.4,1.44,84
2019-08-26,lunes,8,2019,238,0,12.7,0,1.44,1.38,49
2019-08-27,martes,8,2019,239,0,11.1,0,1.36,1.37,52
2019-08-28,miércoles,8,2019,240,0,14.2,0,1.38,1.31,63
2019-08-29,jueves,8,2019,241,0,11.1,1,1.43,1.57,144
2019-08-30,viernes,8,2019,242,0,12.5,0,1.44,1.49,74
2019-08-31,sábado,8,2019,243,0,13.9,0,1.4,1.38,95
2019-09-01,domingo,9,2019,244,0,14.7,0,1.38,1.37,93
2019-09-02,lunes,9,2019,245,0,10.7,0,1.44,1.54,58
2019-09-03,martes,9,2019,246,0,12.6,0,1.43,1.41,54
2019-09-04,miércoles,9,2019,247,0,12.4,0,1.41,1.4,67
2019-09-05,jueves,9,2019,248,0,12.2,0,1.38,1.39,72
2019-09-06,viernes,9,2019,249,0,17.2,0,1.4,1.5,91
2019-09-07,sábado,9,2019,250,0,14.6,0,1.4,1.37,118
2019-09-08,domingo,9,2019,251,0,11.4,0,1.41,1.43,114
2019-09-09,lunes,9,2019,252,0,15.9,0,1.43,1.58,63
2019-09-10,martes,9,2019,253,0,18.4,0,1.42,1.37,66
2019-09-11,miércoles,9,2019,254,0,16.4,0,1.38,1.37,61
2019-09-12,jueves,9,2019,255,0,11.4,0,1.43,1.44,78
2019-09-13,viernes,9,2019,256,0,13.7,1,1.41,1.47,162
2019-09-14,sábado,9,2019,257,0,17.3,0,1.41,1.36,115
2019-09-15,domingo,9,2019,258,0,13.5,0,1.43,1.59,103
2019-09-16,lunes,9,2019,259,0,16.0,1,1.38,1.41,132
2019-09-17,martes,9,2019,260,0,16.8,0,1.4,1.34,46
2019-09-18,miércoles,9,2019,261,0,13.5,1,1.39,1.47,130
2019-09-19,jueves,9,2019,262,0,15.4,0,1.37,1.4,82
2019-09-20,viernes,9,2019,263,0,9.2,0,1.41,1.38,80
2019-09-21,sábado,9,2019,264,0,13.8,0,1.45,1.44,114
2019-09-22,domingo,9,2019,265,0,15.5,0,1.36,1.36,106
2019-09-23,lunes,9,2019,266,0,13.7,1,1.4,1.3,130
2019-09-24,martes,9,2019,267,0,19.6,0,1.41,1.31,66
2019-09-25,miércoles,9,2019,268,0,13.6,0,1.4,1.35,39
2019-09-26,jueves,9,2019,269,0,15.8,0,1.4,1.44,60
2019-09-27,viernes,9,2019,270,0,17.1,1,1.37,1.41,137
2019-09-28,sábado,9,2019,271,0,19.8,0,1.4,1.45,103
2019-09-29,domingo,9,2019,272,0,14.3,0,1.38,1.32,100
2019-09-30,lunes,9,2019,273,0,19.6,0,1.36,1.34,61
2019-10-01,martes,10,2019,274,0,17.5,0,1.42,1.36,72
2019-10-02,miércoles,10,2019,275,0,15.7,0,1.42,1.44,81
2019-10-03,jueves,10,2019,276,0,18.7,0,1.4,1.44,74
2019-10-04,viernes,10,2019,277,0,18.4,0,1.4,1.45,87
2019-10-05,sábado,10,2019,278,0,16.9,0,1.42,1.53,126
2019-10-06,domingo,10,2019,279,0,18.4,0,1.4,1.53,109
2019-10-07,lunes,10,2019,280,0,17.7,0,1.42,1.37,57
2019-10-08,martes,10,2019,281,0,18.9,0,1.39,1.43,80
2019-10-09,miércoles,10,2019,282,0,20.1,0,1.43,1.42,86
2019-10-10,jueves,10,2019,283,0,22.2,0,1.41,1.35,91
2019-10-11,viernes,10,2019,284,0,16.7,0,1.4,1.48,99
2019-10-12,sábado,10,2019,285,1,23.6,0,1.37,1.43,169
2019-10-13,domingo,10,2019,286,0,15.6,0,1.41,1.35,120
2019-10-14,lunes,10,2019,287,0,19.4,1,1.38,1.35,140
2019-10-15,martes,10,2019,288,0,21.0,0,1.39,1.38,80
2019-10-16,miércoles,10,2019,289,0,20.6,0,1.38,1.45,80
2019-10-17,jueves,10,2019,290,0,18.9,0,1.38,1.36,88
2019-10-18,viernes,10,2019,291,0,19.9,0,1.44,1.58,100
2019-10-19,sábado,10,2019,292,0,19.5,0,1.43,1.32,128
2019-10-20,domingo,10,2019,293,0,19.5,0,1.44,1.42,112
2019-10-21,lunes,10,2019,294,0,22.6,0,1.38,1.39,59
2019-10-22,martes,10,2019,295,0,21.8,0,1.4,1.4,82
2019-10-23,miércoles,10,2019,296,0,19.8,0,1.37,1.34,68
2019-10-24,jueves,10,2019,297,0,23.2,0,1.39,1.51,92
2019-10-25,viernes,10,2019,298,0,22.2,0,1.38,1.44,97
2019-10-26,sábado,10,2019,299,0,23.3,1,1.42,1.6,210
2019-10-27,domingo,10,2019,300,0,23.2,0,1.39,1.48,121
2019-10-28,lunes,10,2019,301,0,20.4,0,1.42,1.51,76
2019-10-29,martes,10,2019,302,0,21.1,0,1.41,1.45,76
2019-10-30,miércoles,10,2019,303,0,23.9,0,1.45,1.61,80
2019-10-31,jueves,10,2019,304,0,23.8,0,1.37,1.33,61
2019-11-01,viernes,11,2019,305,1,22.7,0,1.43,1.4,165
2019-11-02,sábado,11,2019,306,0,23.1,0,1.42,1.38,121
2019-11-03,domingo,11,2019,307,0,25.6,0,1.38,1.4,120
2019-11-04,lunes,11,2019,308,0,22.0,1,1.42,1.35,145
2019-11-05,martes,11,2019,309,0,24.5,0,1.41,1.52,73
2019-11-06,miércoles,11,2019,310,0,23.1,0,1.4,1.44,101
2019-11-07,jueves,11,2019,311,0,23.3,0,1.38,1.33,99
2019-11-08,viernes,11,2019,312,0,26.1,0,1.39,1.41,103
2019-11-09,sábado,11,2019,313,0,25.7,0,1.44,1.36,127
2019-11-10,domingo,11,2019,314,0,25.8,0,1.4,1.38,115
2019-11-11,lunes,11,2019,315,0,26.9,0,1.42,1.36,79
2019-11-12,martes,11,2019,316,0,24.5,0,1.38,1.45,76
2019-11-13,miércoles,11,2019,317,0,26.0,0,1.38,1.45,92
2019-11-14,jueves,11,2019,318,0,24.2,0,1.42,1.5,90
2019-11-15,viernes,11,2019,319,0,25.6,0,1.37,1.43,102
2019-11-16,sábado,11,2019,320,0,24.8,0,1.39,1.43,130
2019-11-17,domingo,11,2019,321,0,25.4,0,1.4,1.42,114
2019-11-18,lunes,11,2019,322,0,26.6,0,1.4,1.36,78
2019-11-19,martes,11,2019,323,0,23.9,0,1.4,1.46,78
2019-11-20,miércoles,11,2019,324,0,29.9,0,1.41,1.31,78
2019-11-21,jueves,11,2019,325,0,23.8,0,1.41,1.35,99
2019-11-22,viernes,11,2019,326,0,23.5,0,1.41,1.51,103
2019-11-23,sábado,11,2019,327,0,28.4,0,1.38,1.36,122
2019-11-24,domingo,11,2019,328,0,27.8,0,1.39,1.33,117
2019-11-25,lunes,11,2019,329,0,27.6,0,1.42,1.35,69
2019-11-26,martes,11,2019,330,0,27.7,0,1.42,1.49,80
2019-11-27,miércoles,11,2019,331,0,26.6,0,1.37,1.47,89
2019-11-28,jueves,11,2019,332,0,25.0,1,1.41,1.45,167
2019-11-29,viernes,11,2019,333,0,27.0,0,1.36,1.37,97
2019-11-30,sábado,11,2019,334,0,25.6,0,1.4,1.38,120
2019-12-01,domingo,12,2019,335,0,29.1,0,1.44,1.56,122
2019-12-02,lunes,12,2019,336,0,26.9,0,1.38,1.48,80
2019-12-03,martes,12,2019,337,0,25.7,1,1.38,1.33,146
2019-12-04,miércoles,12,2019,338,0,26.8,0,1.42,1.49,82
2019-12-05,jueves,12,2019,339,0,28.4,0,1.37,1.34,111
2019-12-06,viernes,12,2019,340,1,26.6,1,1.39,1.33,226
2019-12-07,sábado,12,2019,341,0,26.2,0,1.41,1.42,136
2019-12-08,domingo,12,2019,342,0,28.4,0,1.39,1.45,131
2019-12-09,lunes,12,2019,343,0,28.5,0,1.4,1.48,72
2019-12-10,martes,12,2019,344,0,27.1,0,1.41,1.35,103
2019-12-11,miércoles,12,2019,345,0,27.3,0,1.41,1.46,86
2019-12-12,jueves,12,2019,346,0,28.8,0,1.41,1.61,96
2019-12-13,viernes,12,2019,347,0,25.5,1,1.39,1.45,150
2019-12-14,sábado,12,2019,348,0,25.7,0,1.41,1.38,140
2019-12-15,domingo,12,2019,349,0,27.2,0,1.4,1.38,115
2019-12-16,lunes,12,2019,350,0,28.2,0,1.41,1.44,85
2019-12-17,martes,12,2019,351,0,29.4,0,1.39,1.33,76
2019-12-18,miércoles,12,2019,352,0,31.8,0,1.4,1.47,76
2019-12-19,jueves,12,2019,353,0,30.6,0,1.38,1.47,86
2019-12-20,viernes,12,2019,354,0,28.7,0,1.4,1.32,107
2019-12-21,sábado,12,2019,355,0,29.0,0,1.38,1.36,122
2019-12-22,domingo,12,2019,356,0,27.1,0,1.38,1.33,118
2019-12-23,lunes,12,2019,357,0,29.2,0,1.41,1.52,90
2019-12-24,martes,12,2019,358,0,28.7,1,1.4,1.35,166
2019-12-25,miércoles,12,2019,359,1,30.0,0,1.42,1.41,136
2019-12-26,jueves,12,2019,360,0,27.7,0,1.39,1.41,87
2019-12-27,viernes,12,2019,361,0,30.5,1,1.41,1.41,168
2019-12-28,sábado,12,2019,362,0,32.6,0,1.41,1.34,125
2019-12-29,domingo,12,2019,363,0,29.3,1,1.41,1.36,188
2019-12-30,lunes,12,2019,364,0,30.4,0,1.38,1.45,89
2019-12-31,martes,12,2019,365,0,31.0,0,1.4,1.43,81
2020-01-01,miércoles,1,2020,1,1,28.9,0,1.45,1.56,162
2020-01-02,jueves,1,2020,2,0,30.2,0,1.44,1.35,93
2020-01-03,viernes,1,2020,3,0,29.8,0,1.4,1.42,125
2020-01-04,sábado,1,2020,4,0,30.0,1,1.45,1.53,203
2020-01-05,domingo,1,2020,5,0,28.3,0,1.49,1.43,121
2020-01-06,lunes,1,2020,6,1,29.9,0,1.43,1.49,156
2020-01-07,martes,1,2020,7,0,30.9,0,1.43,1.55,75
2020-01-08,miércoles,1,2020,8,0,32.8,0,1.45,1.44,83
2020-01-09,jueves,1,2020,9,0,31.9,1,1.45,1.55,144
2020-01-10,viernes,1,2020,10,0,34.3,0,1.47,1.59,129
2020-01-11,sábado,1,2020,11,0,28.4,0,1.42,1.34,153
2020-01-12,domingo,1,2020,12,0,31.7,0,1.46,1.5,138
2020-01-13,lunes,1,2020,13,0,30.4,0,1.45,1.41,84
2020-01-14,martes,1,2020,14,0,34.4,0,1.44,1.38,100
2020-01-15,miércoles,1,2020,15,0,28.4,0,1.45,1.37,96
2020-01-16,jueves,1,2020,16,0,28.3,1,1.46,1.5,164
2020-01-17,viernes,1,2020,17,0,28.8,0,1.46,1.53,118
2020-01-18,sábado,1,2020,18,0,25.7,0,1.42,1.44,145
